$eta
[1] 50

$accuracy
  [1] 0.9079148 0.8701527 0.8963636 0.9105623 0.8833837 0.9163859 0.8673611 0.9010526 0.9290855
 [10] 0.9223077 0.8953560 0.8866615 0.8825472 0.9001585 0.8691388 0.9038585 0.9222395 0.8798122
 [19] 0.9114353 0.8860095 0.8935897 0.9085457 0.8160876 0.8910334 0.8307810 0.8754630 0.8540435
 [28] 0.8550861 0.8830442 0.8888712 0.8802083 0.8706147 0.8529456 0.8693009 0.8334609 0.8222222
 [37] 0.8466563 0.8484351 0.8874606 0.8632750 0.8406250 0.8853383 0.8633333 0.9174809 0.9228462
 [46] 0.9451238 0.8704368 0.8845126 0.8579239 0.8988038 0.8930064 0.9090226 0.8506061 0.9262595
 [55] 0.8674615 0.9068111 0.8978939 0.9081761 0.9248019 0.9192185 0.9225884 0.8949624 0.8918182
 [64] 0.9212977 0.8529231 0.9176471 0.8873635 0.8588836 0.9158479 0.8310207 0.9143087 0.9216541
 [73] 0.9157576 0.8980153 0.8396154 0.9091331 0.9164587 0.9341195 0.8741680 0.8667464 0.9000804
 [82] 0.8848120 0.8940909 0.8910687 0.9042308 0.9251548 0.9039002 0.9230346 0.9012678 0.8954545
 [91] 0.9217042 0.9374436 0.9315152 0.8716031 0.9040769 0.9016254 0.9533541 0.8974843 0.8747227
[100] 0.9494418

$tau_theta
       Tau     Theta
  [1,]  15 22.000000
  [2,]  17 24.947368
  [3,]  12 24.947368
  [4,]  14 17.131579
  [5,]  10 17.131579
  [6,]  19 17.131579
  [7,]  24 17.131579
  [8,]   7 24.947368
  [9,]   5 17.131579
 [10,]  22 24.947368
 [11,]  26 24.947368
 [12,]  31 24.947368
 [13,]  36 24.947368
 [14,]  41 24.947368
 [15,]  45 24.947368
 [16,]  50 24.947368
 [17,]  29 17.131579
 [18,]  33 17.131579
 [19,]  38 17.131579
 [20,]  43 17.131579
 [21,]  48 17.131579
 [22,]   5  9.315789
 [23,]  10  9.315789
 [24,]  14  9.315789
 [25,]  19  9.315789
 [26,]  24  9.315789
 [27,]  29  9.315789
 [28,]  33  9.315789
 [29,]  38  9.315789
 [30,]  43  9.315789
 [31,]  48  9.315789
 [32,]   5  1.500000
 [33,]  10  1.500000
 [34,]  14  1.500000
 [35,]  19  1.500000
 [36,]  24  1.500000
 [37,]  29  1.500000
 [38,]  33  1.500000
 [39,]  38  1.500000
 [40,]  43  1.500000
 [41,]  48  1.500000
 [42,]   7 32.763158
 [43,]  12 32.763158
 [44,]  17 32.763158
 [45,]  22 32.763158
 [46,]  26 32.763158
 [47,]  31 32.763158
 [48,]  36 32.763158
 [49,]  41 32.763158
 [50,]  45 32.763158
 [51,]  50 32.763158
 [52,]   7 40.578947
 [53,]  12 40.578947
 [54,]  17 40.578947
 [55,]  22 40.578947
 [56,]  26 40.578947
 [57,]  31 40.578947
 [58,]  36 40.578947
 [59,]  41 40.578947
 [60,]  45 40.578947
 [61,]  50 40.578947
 [62,]   7 48.394737
 [63,]  12 48.394737
 [64,]  17 48.394737
 [65,]  22 48.394737
 [66,]  26 48.394737
 [67,]  31 48.394737
 [68,]  36 48.394737
 [69,]  41 48.394737
 [70,]  45 48.394737
 [71,]  50 48.394737
 [72,]   7 56.210526
 [73,]  12 56.210526
 [74,]  17 56.210526
 [75,]  22 56.210526
 [76,]  26 56.210526
 [77,]  31 56.210526
 [78,]  36 56.210526
 [79,]  41 56.210526
 [80,]  45 56.210526
 [81,]  50 56.210526
 [82,]   7 64.026316
 [83,]  12 64.026316
 [84,]  17 64.026316
 [85,]  22 64.026316
 [86,]  26 64.026316
 [87,]  31 64.026316
 [88,]  36 64.026316
 [89,]  41 64.026316
 [90,]  45 64.026316
 [91,]  50 64.026316
 [92,]   7 71.842105
 [93,]  12 71.842105
 [94,]  17 71.842105
 [95,]  22 71.842105
 [96,]  26 71.842105
 [97,]  31 71.842105
 [98,]  36 71.842105
 [99,]  41 71.842105
[100,]  45 71.842105

