$eta
[1] 5

$accuracy
  [1] 0.9078387 0.8632979 0.8976336 0.8724320 0.9183459 0.7892097 0.9183206 0.9005287 0.8659398
 [10] 0.9106923 0.7723684 0.9173406 0.8869327 0.9048742 0.8708399 0.8740032 0.9186699 0.9099231
 [19] 0.8827399 0.8604199 0.8755869 0.8897013 0.8592710 0.8920255 0.9322115 0.8955639 0.8878399
 [28] 0.9186170 0.8322137 0.8652308 0.8180341 0.9097201 0.8772300 0.8332547 0.8808241 0.7863636
 [37] 0.8530449 0.8198496 0.8370846 0.8581307 0.8475573 0.8620000 0.8567337 0.8314930 0.8323161
 [46] 0.8089623 0.8258320 0.8516746 0.7984776 0.9237594 0.8977341 0.9080547 0.9332061 0.9455385
 [55] 0.8948142 0.9148523 0.8579030 0.9246069 0.9011886 0.8509569 0.8863782 0.9136842 0.8934290
 [64] 0.9109422 0.8964122 0.9493846 0.9172601 0.8869362 0.9133803 0.9319182 0.8956418 0.9103668
 [73] 0.8629006 0.9026316 0.8987915 0.9034954 0.9277099 0.9352308 0.9353715 0.9426905 0.8741002
 [82] 0.9141509 0.9179873 0.8745614 0.8810897 0.9263158 0.8768127 0.9358663 0.8985496 0.9103846
 [91] 0.9556502 0.8940902 0.9016432 0.9286950 0.8608558 0.8805423 0.8579327 0.9206015 0.9360272
[100] 0.9090426

$tau_theta
       Tau     Theta
  [1,]  15 22.000000
  [2,]  14 24.947368
  [3,]  17 24.947368
  [4,]  10 24.947368
  [5,]   7 24.947368
  [6,]  14 17.131579
  [7,]  17 17.131579
  [8,]  10 17.131579
  [9,]   7 17.131579
 [10,]  22 17.131579
 [11,]  26 17.131579
 [12,]  29 17.131579
 [13,]  33 17.131579
 [14,]  36 17.131579
 [15,]  41 17.131579
 [16,]  45 17.131579
 [17,]  48 17.131579
 [18,]  22 24.947368
 [19,]  26 24.947368
 [20,]  29 24.947368
 [21,]  33 24.947368
 [22,]  36 24.947368
 [23,]  41 24.947368
 [24,]  45 24.947368
 [25,]  48 24.947368
 [26,]   7  9.315789
 [27,]  10  9.315789
 [28,]  14  9.315789
 [29,]  17  9.315789
 [30,]  22  9.315789
 [31,]  26  9.315789
 [32,]  29  9.315789
 [33,]  33  9.315789
 [34,]  36  9.315789
 [35,]  41  9.315789
 [36,]  45  9.315789
 [37,]  48  9.315789
 [38,]   7  1.500000
 [39,]  10  1.500000
 [40,]  14  1.500000
 [41,]  17  1.500000
 [42,]  22  1.500000
 [43,]  26  1.500000
 [44,]  29  1.500000
 [45,]  33  1.500000
 [46,]  36  1.500000
 [47,]  41  1.500000
 [48,]  45  1.500000
 [49,]  48  1.500000
 [50,]   7 32.763158
 [51,]  10 32.763158
 [52,]  14 32.763158
 [53,]  17 32.763158
 [54,]  22 32.763158
 [55,]  26 32.763158
 [56,]  29 32.763158
 [57,]  33 32.763158
 [58,]  36 32.763158
 [59,]  41 32.763158
 [60,]  45 32.763158
 [61,]  48 32.763158
 [62,]   7 40.578947
 [63,]  10 40.578947
 [64,]  14 40.578947
 [65,]  17 40.578947
 [66,]  22 40.578947
 [67,]  26 40.578947
 [68,]  29 40.578947
 [69,]  33 40.578947
 [70,]  36 40.578947
 [71,]  41 40.578947
 [72,]  45 40.578947
 [73,]  48 40.578947
 [74,]   7 48.394737
 [75,]  10 48.394737
 [76,]  14 48.394737
 [77,]  17 48.394737
 [78,]  22 48.394737
 [79,]  26 48.394737
 [80,]  29 48.394737
 [81,]  33 48.394737
 [82,]  36 48.394737
 [83,]  41 48.394737
 [84,]  45 48.394737
 [85,]  48 48.394737
 [86,]   7 56.210526
 [87,]  10 56.210526
 [88,]  14 56.210526
 [89,]  17 56.210526
 [90,]  22 56.210526
 [91,]  26 56.210526
 [92,]  29 56.210526
 [93,]  33 56.210526
 [94,]  36 56.210526
 [95,]  41 56.210526
 [96,]  45 56.210526
 [97,]  48 56.210526
 [98,]   7 64.026316
 [99,]  10 64.026316
[100,]  14 64.026316

